Date,equity_gross
2024-04-01,100000.0
2024-04-02,100000.0
2024-04-03,100000.0
2024-04-04,100000.0
2024-04-05,100000.0
2024-04-06,100000.0
2024-04-07,100000.0
2024-04-08,100000.0
2024-04-09,100000.0
2024-04-10,100000.0
2024-04-11,100000.0
2024-04-12,100000.0
2024-04-13,100000.0
2024-04-14,100000.0
2024-04-15,100000.0
2024-04-16,100000.0
2024-04-17,100000.0
2024-04-18,100000.0
2024-04-19,100000.0
2024-04-20,100000.0
2024-04-21,100000.0
2024-04-22,100000.0
2024-04-23,100000.0
2024-04-24,100000.0
2024-04-25,100000.0
2024-04-26,100000.0
2024-04-27,100000.0
2024-04-28,100000.0
2024-04-29,100000.0
2024-04-30,100000.0
2024-05-01,100000.0
2024-05-02,100000.0
2024-05-03,100000.0
2024-05-04,100000.0
2024-05-05,100000.0
2024-05-06,100000.0
2024-05-07,100000.0
2024-05-08,100000.0
2024-05-09,100000.0
2024-05-10,100000.0
2024-05-11,100000.0
2024-05-12,100000.0
2024-05-13,100000.0
2024-05-14,100000.0
2024-05-15,100000.0
2024-05-16,100000.0
2024-05-17,100000.0
2024-05-18,100000.0
2024-05-19,100000.0
2024-05-20,100000.0
2024-05-21,100000.0
2024-05-22,100000.0
2024-05-23,100000.0
2024-05-24,100000.0
2024-05-25,100000.0
2024-05-26,100000.0
2024-05-27,100000.0
2024-05-28,100000.0
2024-05-29,100000.0
2024-05-30,100000.0
2024-05-31,98069.34477296252
2024-06-01,98069.34477296252
2024-06-02,98069.34477296252
2024-06-03,94786.52145331191
2024-06-04,112587.46721109863
2024-06-05,111997.74631266226
2024-06-06,112048.6661108394
2024-06-07,112111.73955254327
2024-06-08,112111.73955254327
2024-06-09,112111.73955254327
2024-06-10,113340.0775192717
2024-06-11,113214.88990900788
2024-06-12,113323.62163776439
2024-06-13,113323.62163776439
2024-06-14,113511.41901986083
2024-06-15,113511.41901986083
2024-06-16,113511.41901986083
2024-06-17,113511.41901986083
2024-06-18,113511.41901986083
2024-06-19,112650.92830312067
2024-06-20,112648.43207190151
2024-06-21,111683.51562782678
2024-06-22,111683.51562782678
2024-06-23,111683.51562782678
2024-06-24,111484.14399462377
2024-06-25,109997.99907459009
2024-06-26,112385.44420700807
2024-06-27,112103.29770647289
2024-06-28,112692.98179177238
2024-06-29,112692.98179177238
2024-06-30,112692.98179177238
2024-07-01,112946.499064003
2024-07-02,111213.2115465674
2024-07-03,112855.73738040237
2024-07-04,113240.24461406341
2024-07-05,116027.13836723668
2024-07-06,116027.13836723668
2024-07-07,116027.13836723668
2024-07-08,116177.81594627361
2024-07-09,117745.8709205002
2024-07-10,117628.98148937909
2024-07-11,117799.37599244683
2024-07-12,117094.65066316178
2024-07-13,117094.65066316178
2024-07-14,117094.65066316178
2024-07-15,118704.5571050692
2024-07-16,118118.50484483808
2024-07-17,118118.50484483808
2024-07-18,114899.62305487996
2024-07-19,113029.36842425799
2024-07-20,113029.36842425799
2024-07-21,113029.36842425799
2024-07-22,111129.40474574994
2024-07-23,110078.63524608049
2024-07-24,109452.66263690102
2024-07-25,108815.88552033389
2024-07-26,106517.76791801382
2024-07-27,106517.76791801382
2024-07-28,106517.76791801382
2024-07-29,107549.30242034968
2024-07-30,107339.84645086477
2024-07-31,107517.51831515443
2024-08-01,107816.24933496818
2024-08-02,107816.24933496818
2024-08-03,107816.24933496818
2024-08-04,107816.24933496818
2024-08-05,107816.24933496818
2024-08-06,107816.24933496818
2024-08-07,107816.24933496818
2024-08-08,107716.15545757962
2024-08-09,108071.86923031353
2024-08-10,108071.86923031353
2024-08-11,108071.86923031353
2024-08-12,108071.86923031353
2024-08-13,107887.46233962555
2024-08-14,107934.33579014547
2024-08-15,107934.33579014547
2024-08-16,107934.33579014547
2024-08-17,107934.33579014547
2024-08-18,107934.33579014547
2024-08-19,107934.33579014547
2024-08-20,107865.36981682917
2024-08-21,107746.02210719897
2024-08-22,108378.1593229717
2024-08-23,108378.1593229717
2024-08-24,108378.1593229717
2024-08-25,108378.1593229717
2024-08-26,108207.94263444123
2024-08-27,108013.68561773539
2024-08-28,107895.12293778354
2024-08-29,108426.00542247084
2024-08-30,108333.53177203824
2024-08-31,108333.53177203824
