time,pair,signal
2024-05-30,TCS.NS-WIPRO.NS,1
2024-06-04,TCS.NS-WIPRO.NS,0
2024-07-02,TCS.NS-WIPRO.NS,-1
2024-07-03,TCS.NS-WIPRO.NS,0
2024-07-04,TCS.NS-WIPRO.NS,-1
2024-07-05,TCS.NS-WIPRO.NS,0
2024-07-14,TCS.NS-WIPRO.NS,-1
2024-07-18,TCS.NS-WIPRO.NS,0
2024-07-19,TCS.NS-WIPRO.NS,-1
2024-07-29,TCS.NS-WIPRO.NS,0
2024-10-11,TCS.NS-WIPRO.NS,1
2024-10-13,TCS.NS-WIPRO.NS,0
2024-10-14,TCS.NS-WIPRO.NS,1
2024-10-17,TCS.NS-WIPRO.NS,0
2024-10-22,TCS.NS-WIPRO.NS,1
2024-10-23,TCS.NS-WIPRO.NS,0
2024-12-05,TCS.NS-WIPRO.NS,-1
2024-12-19,TCS.NS-WIPRO.NS,0
2025-01-07,TCS.NS-WIPRO.NS,1
2025-01-08,TCS.NS-WIPRO.NS,0
2025-01-09,TCS.NS-WIPRO.NS,1
2025-01-10,TCS.NS-WIPRO.NS,0
2025-02-11,TCS.NS-WIPRO.NS,1
2025-02-19,TCS.NS-WIPRO.NS,0
2025-02-21,TCS.NS-WIPRO.NS,1
2025-02-28,TCS.NS-WIPRO.NS,0
2025-03-01,TCS.NS-WIPRO.NS,1
2025-05-12,TCS.NS-WIPRO.NS,0
2025-05-19,TCS.NS-WIPRO.NS,1
2025-05-21,TCS.NS-WIPRO.NS,0
2025-05-22,TCS.NS-WIPRO.NS,1
2025-05-26,TCS.NS-WIPRO.NS,0
2025-05-27,TCS.NS-WIPRO.NS,1
2025-07-11,TCS.NS-WIPRO.NS,0
2025-07-13,TCS.NS-WIPRO.NS,1
2025-07-14,TCS.NS-WIPRO.NS,0
2025-07-15,TCS.NS-WIPRO.NS,1
2025-09-26,TCS.NS-WIPRO.NS,0
2025-09-27,TCS.NS-WIPRO.NS,1
2025-11-12,TCS.NS-WIPRO.NS,0
2025-12-04,TCS.NS-WIPRO.NS,-1
2025-12-08,TCS.NS-WIPRO.NS,0
2025-12-18,TCS.NS-WIPRO.NS,-1
2025-12-19,TCS.NS-WIPRO.NS,0
2025-12-22,TCS.NS-WIPRO.NS,-1
2025-12-23,TCS.NS-WIPRO.NS,0
2026-02-09,TCS.NS-WIPRO.NS,1
2026-02-12,TCS.NS-WIPRO.NS,0
2026-02-16,TCS.NS-WIPRO.NS,1
2024-05-30,TCS.NS-INFY.NS,1
2024-05-31,TCS.NS-INFY.NS,0
2024-06-02,TCS.NS-INFY.NS,1
2024-06-04,TCS.NS-INFY.NS,0
2024-07-19,TCS.NS-INFY.NS,-1
2024-07-22,TCS.NS-INFY.NS,0
2024-08-19,TCS.NS-INFY.NS,-1
2024-08-22,TCS.NS-INFY.NS,0
2024-09-20,TCS.NS-INFY.NS,1
2024-09-22,TCS.NS-INFY.NS,0
2024-10-11,TCS.NS-INFY.NS,1
2024-10-18,TCS.NS-INFY.NS,0
2024-11-25,TCS.NS-INFY.NS,-1
2024-11-27,TCS.NS-INFY.NS,0
2024-12-04,TCS.NS-INFY.NS,-1
2024-12-16,TCS.NS-INFY.NS,0
2024-12-17,TCS.NS-INFY.NS,1
2025-01-10,TCS.NS-INFY.NS,0
2025-02-06,TCS.NS-INFY.NS,1
2025-03-24,TCS.NS-INFY.NS,0
2025-04-02,TCS.NS-INFY.NS,1
2025-05-12,TCS.NS-INFY.NS,0
2025-05-13,TCS.NS-INFY.NS,1
2025-05-14,TCS.NS-INFY.NS,0
2025-05-20,TCS.NS-INFY.NS,1
2025-05-21,TCS.NS-INFY.NS,0
2025-05-22,TCS.NS-INFY.NS,1
2025-05-23,TCS.NS-INFY.NS,0
2025-05-27,TCS.NS-INFY.NS,1
2025-09-25,TCS.NS-INFY.NS,0
2025-09-29,TCS.NS-INFY.NS,1
