Date,equity_gross
2021-04-01,100000.0
2021-04-02,100000.0
2021-04-03,100000.0
2021-04-04,100000.0
2021-04-05,100000.0
2021-04-06,100000.0
2021-04-07,100000.0
2021-04-08,100000.0
2021-04-09,100000.0
2021-04-10,100000.0
2021-04-11,100000.0
2021-04-12,100000.0
2021-04-13,100000.0
2021-04-14,100000.0
2021-04-15,100000.0
2021-04-16,100000.0
2021-04-17,100000.0
2021-04-18,100000.0
2021-04-19,100000.0
2021-04-20,100000.0
2021-04-21,100000.0
2021-04-22,100000.0
2021-04-23,100000.0
2021-04-24,100000.0
2021-04-25,100000.0
2021-04-26,100000.0
2021-04-27,100000.0
2021-04-28,100000.0
2021-04-29,100000.0
2021-04-30,100000.0
2021-05-01,100000.0
2021-05-02,100000.0
2021-05-03,100000.0
2021-05-04,100000.0
2021-05-05,100000.0
2021-05-06,100000.0
2021-05-07,100000.0
2021-05-08,100000.0
2021-05-09,100000.0
2021-05-10,100000.0
2021-05-11,100000.0
2021-05-12,100000.0
2021-05-13,100000.0
2021-05-14,100000.0
2021-05-15,100000.0
2021-05-16,100000.0
2021-05-17,100000.0
2021-05-18,100000.0
2021-05-19,100000.0
2021-05-20,100000.0
2021-05-21,100000.0
2021-05-22,100000.0
2021-05-23,100000.0
2021-05-24,100000.0
2021-05-25,100000.0
2021-05-26,100000.0
2021-05-27,100000.0
2021-05-28,100000.0
2021-05-29,100000.0
2021-05-30,100000.0
2021-05-31,99528.49656386908
2021-06-01,99374.09696121867
2021-06-02,98948.1851161808
2021-06-03,99013.73586110615
2021-06-04,99268.36850403155
2021-06-05,99268.36850403155
2021-06-06,99268.36850403155
2021-06-07,97991.87065198389
2021-06-08,99420.48726178244
2021-06-09,101159.35428205717
2021-06-10,102225.25882562622
2021-06-11,99806.0613428085
2021-06-12,99806.0613428085
2021-06-13,99806.0613428085
2021-06-14,96850.2374555174
2021-06-15,97742.80474815001
2021-06-16,97431.50366789613
2021-06-17,92153.97606570482
2021-06-18,92440.27024267352
2021-06-19,92440.27024267352
2021-06-20,92440.27024267352
2021-06-21,94355.07630509752
2021-06-22,92682.94460220283
2021-06-23,94293.75810305806
2021-06-24,90174.15531495826
2021-06-25,95601.78243667436
2021-06-26,95601.78243667436
2021-06-27,95601.78243667436
2021-06-28,96545.11972688878
2021-06-29,95256.42676463234
2021-06-30,93020.72500505752
2021-07-01,94188.33363303053
2021-07-02,96046.32694373021
2021-07-03,96046.32694373021
2021-07-04,96046.32694373021
2021-07-05,97903.85633028913
2021-07-06,102017.66006694283
2021-07-07,102254.69307312777
2021-07-08,100672.80509153378
2021-07-09,101152.32111112903
2021-07-10,101152.32111112903
2021-07-11,101152.32111112903
2021-07-12,102917.1856944996
2021-07-13,104618.80827492781
2021-07-14,102004.35364814317
2021-07-15,101364.65339613249
2021-07-16,104569.67724732331
2021-07-17,104569.67724732331
2021-07-18,104569.67724732331
2021-07-19,104581.98073745714
2021-07-20,102450.22738659699
2021-07-21,102450.22738659699
2021-07-22,100626.14095799705
2021-07-23,102407.66137802375
2021-07-24,102407.66137802375
2021-07-25,102407.66137802375
2021-07-26,100034.68868957653
2021-07-27,99672.56635532874
2021-07-28,99180.15124356648
2021-07-29,99483.60767196961
2021-07-30,98836.69959823173
2021-07-31,98836.69959823173
2021-08-01,98836.69959823173
2021-08-02,98783.58573639888
2021-08-03,98422.10719405329
2021-08-04,100119.50694618524
2021-08-05,101523.18756665265
2021-08-06,100346.39302684556
2021-08-07,100346.39302684556
2021-08-08,100346.39302684556
2021-08-09,99565.94393199445
2021-08-10,97688.11483267184
2021-08-11,98698.44245125847
2021-08-12,96947.37010525903
2021-08-13,96759.59200898813
2021-08-14,96759.59200898813
2021-08-15,96759.59200898813
2021-08-16,97763.2923048543
2021-08-17,91771.57864890627
2021-08-18,92070.92177771148
2021-08-19,92070.92177771148
2021-08-20,91278.57717574907
2021-08-21,91278.57717574907
2021-08-22,91278.57717574907
2021-08-23,87598.40130691427
2021-08-24,93440.76222715476
2021-08-25,89052.29876805743
2021-08-26,86419.47417824608
2021-08-27,87335.71798767826
2021-08-28,87335.71798767826
2021-08-29,87335.71798767826
2021-08-30,94218.22326556142
2021-08-31,94252.60113192313
2021-09-01,98145.88469697154
2021-09-02,93015.52316272436
2021-09-03,90933.98802440736
2021-09-04,90933.98802440736
2021-09-05,90933.98802440736
2021-09-06,90044.22752664829
2021-09-07,91817.25836696348
2021-09-08,93607.04666372665
2021-09-09,94357.61505145096
2021-09-10,94357.61505145096
2021-09-11,94357.61505145096
2021-09-12,94357.61505145096
2021-09-13,93366.14936328749
2021-09-14,92494.53286171486
2021-09-15,92695.83424291048
2021-09-16,99358.79205063194
2021-09-17,102517.20153206693
2021-09-18,102517.20153206693
2021-09-19,102517.20153206693
2021-09-20,100612.14066137135
2021-09-21,100961.33781024737
2021-09-22,99682.46440024623
2021-09-23,102513.2868774035
2021-09-24,101388.53282930926
2021-09-25,101388.53282930926
2021-09-26,101388.53282930926
2021-09-27,102112.7578182458
2021-09-28,101776.74753232858
2021-09-29,103941.58487963805
2021-09-30,102950.46449711855
2021-10-01,102295.70129683046
2021-10-02,102295.70129683046
2021-10-03,102295.70129683046
2021-10-04,102107.54084684688
2021-10-05,99282.92339967265
2021-10-06,100170.87382273696
2021-10-07,100598.41696430132
2021-10-08,96129.85496846428
2021-10-09,96129.85496846428
2021-10-10,96129.85496846428
2021-10-11,98075.810210407
2021-10-12,97396.08971141989
2021-10-13,97252.07616897987
2021-10-14,99000.17238242007
2021-10-15,99000.17238242007
2021-10-16,99000.17238242007
2021-10-17,99000.17238242007
2021-10-18,102361.98045871794
2021-10-19,99952.7808928595
2021-10-20,102050.32238509573
2021-10-21,104786.16891815586
2021-10-22,103527.00274602648
2021-10-23,103527.00274602648
2021-10-24,103527.00274602648
2021-10-25,101519.9396572827
2021-10-26,99638.91846796645
2021-10-27,101925.91801494462
2021-10-28,102988.49915914366
2021-10-29,104348.35420042335
2021-10-30,104348.35420042335
2021-10-31,104348.35420042335
2021-11-01,105707.94848646071
2021-11-02,105760.41897484892
2021-11-03,106111.56920334588
2021-11-04,106134.86559409066
2021-11-05,106134.86559409066
2021-11-06,106134.86559409066
2021-11-07,106134.86559409066
2021-11-08,106054.5606083368
2021-11-09,104935.06856950665
2021-11-10,103422.01563553193
2021-11-11,105857.93909704659
2021-11-12,105319.05447858905
2021-11-13,105319.05447858905
2021-11-14,105319.05447858905
2021-11-15,107582.02137844982
2021-11-16,108059.2524571345
2021-11-17,106684.5133219404
2021-11-18,107321.15133770813
2021-11-19,107321.15133770813
2021-11-20,107321.15133770813
2021-11-21,107321.15133770813
2021-11-22,106397.01923396722
2021-11-23,106860.25718488777
2021-11-24,107001.7163279455
2021-11-25,113841.15814084327
2021-11-26,118591.16675740841
2021-11-27,118591.16675740841
2021-11-28,118591.16675740841
2021-11-29,122055.9417448691
2021-11-30,122156.14847136191
2021-12-01,123826.07655008529
2021-12-02,123321.16194979282
2021-12-03,122388.4738195051
2021-12-04,122388.4738195051
2021-12-05,122388.4738195051
2021-12-06,122631.0394107394
2021-12-07,122638.78113754571
2021-12-08,122208.4456620338
2021-12-09,122057.28319869336
2021-12-10,122539.66285870987
2021-12-11,122539.66285870987
2021-12-12,122539.66285870987
2021-12-13,121308.65562763668
2021-12-14,118238.9622346574
2021-12-15,117963.47983380145
2021-12-16,116900.35616860741
2021-12-17,109812.9450524979
2021-12-18,109812.9450524979
2021-12-19,109812.9450524979
2021-12-20,105023.55330042384
2021-12-21,104101.71764094415
2021-12-22,105508.4613841356
2021-12-23,103964.00259527616
2021-12-24,102792.07620618369
2021-12-25,102792.07620618369
2021-12-26,102792.07620618369
2021-12-27,103085.23256889182
2021-12-28,102779.39988283656
2021-12-29,101371.89701639043
2021-12-30,99886.12832583614
2021-12-31,103023.45903345411
2022-01-01,103023.45903345411
2022-01-02,103023.45903345411
2022-01-03,105040.99803326627
2022-01-04,105987.10897771912
2022-01-05,112097.6588349354
2022-01-06,112722.51583390488
2022-01-07,111432.94566804777
2022-01-08,111432.94566804777
2022-01-09,111432.94566804777
2022-01-10,112507.40408055564
2022-01-11,111862.93342746033
2022-01-12,115555.63048826795
2022-01-13,113886.64182892867
2022-01-14,110959.20668025027
2022-01-15,110959.20668025027
2022-01-16,110959.20668025027
2022-01-17,108756.28264680422
2022-01-18,108558.2244532589
2022-01-19,113418.90563685223
2022-01-20,118701.57504237407
2022-01-21,118519.50890753817
2022-01-22,118519.50890753817
2022-01-23,118519.50890753817
2022-01-24,118874.6711275946
2022-01-25,121987.19648173254
2022-01-26,121987.19648173254
2022-01-27,126468.10471670282
2022-01-28,125839.5217632413
2022-01-29,125839.5217632413
2022-01-30,125839.5217632413
2022-01-31,127200.43656912692
2022-02-01,123835.04411110611
2022-02-02,124096.91386036665
2022-02-03,123361.84392099244
2022-02-04,124040.22209455102
2022-02-05,124040.22209455102
2022-02-06,124040.22209455102
2022-02-07,123835.17062193424
2022-02-08,127569.86108345876
2022-02-09,129201.44225734074
2022-02-10,130554.96740111685
2022-02-11,133317.24367711038
2022-02-12,133317.24367711038
2022-02-13,133317.24367711038
2022-02-14,130264.09886953757
2022-02-15,131765.67883884753
2022-02-16,132372.82241664774
2022-02-17,135046.8527334131
2022-02-18,133408.46715192293
2022-02-19,133408.46715192293
2022-02-20,133408.46715192293
2022-02-21,137018.044513862
2022-02-22,142652.8195554235
2022-02-23,143164.92987123987
2022-02-24,142903.79192399175
2022-02-25,141250.93898638478
2022-02-26,141250.93898638478
2022-02-27,141250.93898638478
2022-02-28,142572.7564446602
2022-03-01,142572.7564446602
2022-03-02,147718.62716629347
2022-03-03,148230.17980065828
2022-03-04,147855.61302583502
2022-03-05,147855.61302583502
2022-03-06,147855.61302583502
2022-03-07,149845.3367848662
2022-03-08,152477.5094171403
2022-03-09,154190.19472330023
2022-03-10,154299.7540654125
2022-03-11,154526.44164721735
2022-03-12,154526.44164721735
2022-03-13,154526.44164721735
2022-03-14,152516.4492948595
2022-03-15,157488.3130073949
2022-03-16,155288.3520010369
2022-03-17,161346.16753472429
2022-03-18,161346.16753472429
2022-03-19,161346.16753472429
2022-03-20,161346.16753472429
2022-03-21,157928.70504066854
2022-03-22,155169.2464613272
2022-03-23,154446.5421188276
2022-03-24,149891.5507580192
2022-03-25,150011.56125580292
2022-03-26,150011.56125580292
2022-03-27,150011.56125580292
2022-03-28,151802.26581606764
2022-03-29,152395.53192374005
2022-03-30,150389.95710573182
2022-03-31,151877.57953157253
2022-04-01,155649.88087991887
2022-04-02,155649.88087991887
2022-04-03,155649.88087991887
2022-04-04,164198.74958757922
2022-04-05,166988.31455469376
2022-04-06,171639.30438906688
2022-04-07,175226.3562690828
2022-04-08,175907.19470765896
2022-04-09,175907.19470765896
2022-04-10,175907.19470765896
2022-04-11,177461.83192387593
2022-04-12,179639.10232921466
2022-04-13,180425.97584549885
2022-04-14,180425.97584549885
2022-04-15,180425.97584549885
2022-04-16,180425.97584549885
2022-04-17,180425.97584549885
2022-04-18,179582.82893663627
2022-04-19,169819.40704026888
2022-04-20,169045.72784561664
2022-04-21,169794.6118836833
2022-04-22,169330.4991573448
2022-04-23,169330.4991573448
2022-04-24,169330.4991573448
2022-04-25,169654.1037577254
2022-04-26,165905.76110453997
2022-04-27,164198.4490811621
2022-04-28,164612.58843860443
2022-04-29,164980.46755543465
2022-04-30,164980.46755543465
2022-05-01,164980.46755543465
2022-05-02,163409.28560108144
2022-05-03,163409.28560108144
2022-05-04,168323.76425673376
2022-05-05,178031.8749322322
2022-05-06,172839.64100956023
2022-05-07,172839.64100956023
2022-05-08,172839.64100956023
2022-05-09,183939.98375132895
2022-05-10,185364.8403536291
2022-05-11,183374.41327013006
2022-05-12,187520.33205639344
2022-05-13,189085.33473022853
2022-05-14,189085.33473022853
2022-05-15,189085.33473022853
2022-05-16,185107.9001690636
2022-05-17,181240.5036253833
2022-05-18,181043.41168590437
2022-05-19,171221.64626429524
2022-05-20,165434.5927246753
2022-05-21,165434.5927246753
2022-05-22,165434.5927246753
2022-05-23,169574.8750240315
2022-05-24,166197.8832841161
2022-05-25,158078.3513512985
2022-05-26,160533.5869968129
2022-05-27,164283.89631150017
2022-05-28,164283.89631150017
2022-05-29,164283.89631150017
2022-05-30,168644.2358285015
2022-05-31,169137.1105398194
2022-06-01,166927.2513322562
2022-06-02,168220.5674966552
2022-06-03,167610.2834708906
2022-06-04,167610.2834708906
2022-06-05,167610.2834708906
2022-06-06,167949.2915029992
2022-06-07,162883.05334823765
2022-06-08,167493.74482122986
2022-06-09,163693.03467987475
2022-06-10,166064.93775639302
2022-06-11,166064.93775639302
2022-06-12,166064.93775639302
2022-06-13,162959.3065113965
2022-06-14,165413.77758613788
2022-06-15,167109.22626854994
2022-06-16,167292.92899388663
2022-06-17,160199.47017432767
2022-06-18,160199.47017432767
2022-06-19,160199.47017432767
2022-06-20,167887.26856602525
2022-06-21,170161.06416953314
2022-06-22,176228.7844191488
2022-06-23,184103.26985971068
2022-06-24,179608.1387047837
2022-06-25,179608.1387047837
2022-06-26,179608.1387047837
2022-06-27,182870.96373819985
2022-06-28,180109.90260008912
2022-06-29,174578.41308333192
2022-06-30,172337.07933739148
2022-07-01,185212.6604388972
2022-07-02,185212.6604388972
2022-07-03,185212.6604388972
2022-07-04,179917.280039208
2022-07-05,179050.69696084526
2022-07-06,179677.58132088912
2022-07-07,178956.5553231713
2022-07-08,176903.0675699669
2022-07-09,176903.0675699669
2022-07-10,176903.0675699669
