Date,equity_net
2021-04-01,100000.0
2021-04-02,100000.0
2021-04-03,100000.0
2021-04-04,100000.0
2021-04-05,100000.0
2021-04-06,100000.0
2021-04-07,100000.0
2021-04-08,100000.0
2021-04-09,100000.0
2021-04-10,100000.0
2021-04-11,100000.0
2021-04-12,100000.0
2021-04-13,100000.0
2021-04-14,100000.0
2021-04-15,100000.0
2021-04-16,100000.0
2021-04-17,100000.0
2021-04-18,100000.0
2021-04-19,100000.0
2021-04-20,100000.0
2021-04-21,100000.0
2021-04-22,100000.0
2021-04-23,100000.0
2021-04-24,100000.0
2021-04-25,100000.0
2021-04-26,100000.0
2021-04-27,100000.0
2021-04-28,100000.0
2021-04-29,100000.0
2021-04-30,100000.0
2021-05-01,100000.0
2021-05-02,100000.0
2021-05-03,100000.0
2021-05-04,100000.0
2021-05-05,100000.0
2021-05-06,100000.0
2021-05-07,100000.0
2021-05-08,100000.0
2021-05-09,100000.0
2021-05-10,100000.0
2021-05-11,100000.0
2021-05-12,100000.0
2021-05-13,100000.0
2021-05-14,100000.0
2021-05-15,100000.0
2021-05-16,100000.0
2021-05-17,100000.0
2021-05-18,100000.0
2021-05-19,100000.0
2021-05-20,100000.0
2021-05-21,100000.0
2021-05-22,100000.0
2021-05-23,100000.0
2021-05-24,100000.0
2021-05-25,100000.0
2021-05-26,100000.0
2021-05-27,100000.0
2021-05-28,100000.0
2021-05-29,100000.0
2021-05-30,99943.7316
2021-05-31,99444.09396386908
2021-06-01,99289.69436121867
2021-06-02,98779.3799161808
2021-06-03,98816.79646110615
2021-06-04,98987.02650403154
2021-06-05,98987.02650403154
2021-06-06,98987.02650403154
2021-06-07,97682.39445198388
2021-06-08,99111.01106178245
2021-06-09,100821.74388205717
2021-06-10,101859.51422562623
2021-06-11,99187.1089428085
2021-06-12,99158.9747428085
2021-06-13,99158.9747428085
2021-06-14,96146.88245551739
2021-06-15,97039.44974815001
2021-06-16,96728.14866789612
2021-06-17,91366.21846570482
2021-06-18,91652.51264267352
2021-06-19,91596.24424267352
2021-06-20,91568.11004267352
2021-06-21,93482.91610509752
2021-06-22,91810.78440220283
2021-06-23,93421.59790305805
2021-06-24,89189.45831495826
2021-06-25,94476.41443667437
2021-06-26,94476.41443667437
2021-06-27,94448.28023667437
2021-06-28,95363.48332688879
2021-06-29,94046.65616463234
2021-06-30,91782.82020505752
2021-07-01,92950.42883303054
2021-07-02,94780.2879437302
2021-07-03,94780.2879437302
2021-07-04,94780.2879437302
2021-07-05,96637.81733028912
2021-07-06,100582.81586694284
2021-07-07,100819.84887312776
2021-07-08,99237.96089153379
2021-07-09,99604.94011112904
2021-07-10,99604.94011112904
2021-07-11,99576.80591112903
2021-07-12,101341.6704944996
2021-07-13,102987.02467492782
2021-07-14,100344.43584814317
2021-07-15,99676.6013961325
2021-07-16,102853.4910473233
2021-07-17,102825.3568473233
2021-07-18,102825.3568473233
2021-07-19,102809.52613745714
2021-07-20,100649.638586597
2021-07-21,100649.638586597
2021-07-22,98741.14955799705
2021-07-23,100494.53577802375
2021-07-24,100494.53577802375
2021-07-25,100494.53577802375
2021-07-26,98121.56308957654
2021-07-27,97703.17235532874
2021-07-28,97154.48884356648
2021-07-29,97457.94527196961
2021-07-30,96698.50039823173
2021-07-31,96698.50039823173
2021-08-01,96698.50039823173
2021-08-02,96645.38653639889
2021-08-03,96283.90799405328
2021-08-04,97981.30774618524
2021-08-05,99384.98836665266
2021-08-06,98151.92542684556
2021-08-07,98151.92542684556
2021-08-08,98151.92542684556
2021-08-09,97371.47633199446
2021-08-10,95493.64723267184
2021-08-11,96503.97485125846
2021-08-12,94752.90250525903
2021-08-13,94396.31920898813
2021-08-14,94396.31920898813
2021-08-15,94396.31920898813
2021-08-16,95371.8853048543
2021-08-17,89183.23224890626
2021-08-18,89370.03857771149
2021-08-19,89313.77017771149
2021-08-20,88408.88877574907
2021-08-21,88408.88877574907
2021-08-22,88408.88877574907
2021-08-23,84672.44450691427
2021-08-24,90458.53702715476
2021-08-25,86070.07356805743
2021-08-26,83409.11477824608
2021-08-27,84212.82178767826
2021-08-28,84184.68758767826
2021-08-29,84184.68758767826
2021-08-30,90954.65606556142
2021-08-31,90960.89973192314
2021-09-01,94741.64649697155
2021-09-02,89611.28496272436
2021-09-03,87389.07882440735
2021-09-04,87360.94462440735
2021-09-05,87332.81042440735
2021-09-06,86386.7815266483
2021-09-07,88131.67816696348
2021-09-08,89865.19806372665
2021-09-09,90587.63225145097
2021-09-10,90587.63225145097
2021-09-11,90587.63225145097
2021-09-12,90587.63225145097
2021-09-13,89568.03236328748
2021-09-14,88668.28166171486
2021-09-15,88841.44884291047
2021-09-16,95504.40665063194
2021-09-17,98662.81613206693
2021-09-18,98662.81613206693
2021-09-19,98662.81613206693
2021-09-20,96757.75526137135
2021-09-21,97106.95241024737
2021-09-22,95828.07900024623
2021-09-23,98658.9014774035
2021-09-24,97534.14742930926
2021-09-25,97534.14742930926
2021-09-26,97534.14742930926
2021-09-27,98230.2382182458
2021-09-28,97753.55693232857
2021-09-29,99890.26007963804
2021-09-30,98814.73709711854
2021-10-01,98075.57129683046
2021-10-02,98047.43709683046
2021-10-03,98047.43709683046
2021-10-04,97859.27664684689
2021-10-05,95034.65919967265
2021-10-06,95894.47542273697
2021-10-07,96293.88436430131
2021-10-08,91797.18816846429
2021-10-09,91797.18816846429
2021-10-10,91797.18816846429
2021-10-11,93715.009210407
2021-10-12,93007.15451141988
2021-10-13,92863.14096897986
2021-10-14,94554.96878242007
2021-10-15,94498.70038242007
2021-10-16,94498.70038242007
2021-10-17,94498.70038242007
2021-10-18,97832.37425871794
2021-10-19,95254.3694928595
2021-10-20,97295.64258509573
2021-10-21,99806.41551815587
2021-10-22,98490.98094602648
2021-10-23,98462.8467460265
2021-10-24,98462.8467460265
2021-10-25,96455.7836572827
2021-10-26,94574.76246796644
2021-10-27,96833.62781494462
2021-10-28,97839.94055914365
2021-10-29,99115.39300042336
2021-10-30,99115.39300042336
2021-10-31,99115.39300042336
2021-11-01,100474.98728646072
2021-11-02,100499.32357484892
2021-11-03,100737.93700334588
2021-11-04,100761.23339409065
2021-11-05,100761.23339409065
2021-11-06,100704.96499409065
2021-11-07,100704.96499409065
2021-11-08,100568.3916083368
2021-11-09,99420.76536950664
2021-11-10,97907.71243553194
2021-11-11,100343.6358970466
2021-11-12,99748.48287858906
2021-11-13,99748.48287858906
2021-11-14,99748.48287858906
2021-11-15,101983.31557844982
2021-11-16,102404.2782571345
2021-11-17,101001.4049219404
2021-11-18,101609.90873770812
2021-11-19,101609.90873770812
2021-11-20,101609.90873770812
2021-11-21,101609.90873770812
2021-11-22,100601.37403396722
2021-11-23,101064.61198488777
2021-11-24,101093.53432794551
2021-11-25,107904.84194084327
2021-11-26,112570.44795740841
2021-11-27,112570.44795740841
2021-11-28,112570.44795740841
2021-11-29,115922.68614486909
2021-11-30,115994.75867136191
2021-12-01,117636.5525500853
2021-12-02,117103.50374979283
2021-12-03,116170.81561950511
2021-12-04,116170.81561950511
2021-12-05,116170.81561950511
2021-12-06,116413.38121073939
2021-12-07,116421.1229375457
2021-12-08,115343.7008620338
2021-12-09,115192.53839869336
2021-12-10,115562.38125870987
2021-12-11,115562.38125870987
2021-12-12,115562.38125870987
2021-12-13,114331.37402763667
2021-12-14,111205.41223465739
2021-12-15,110929.92983380146
2021-12-16,109726.1351686074
2021-12-17,102554.3214524979
2021-12-18,102554.3214524979
2021-12-19,102526.1872524979
2021-12-20,97652.39290042383
2021-12-21,96730.55724094415
2021-12-22,98137.3009841356
2021-12-23,96536.57379527617
2021-12-24,95280.24480618369
2021-12-25,95280.24480618369
2021-12-26,95280.24480618369
2021-12-27,95517.13276889182
2021-12-28,95126.89748283656
2021-12-29,93663.12621639043
2021-12-30,92121.08912583614
2021-12-31,95258.41983345411
2022-01-01,95258.41983345411
2022-01-02,95258.41983345411
2022-01-03,97191.55623326627
2022-01-04,98137.66717771912
2022-01-05,104163.81443493538
2022-01-06,104788.67143390488
2022-01-07,103499.10126804776
2022-01-08,103499.10126804776
2022-01-09,103470.96706804776
2022-01-10,104545.42548055564
2022-01-11,103900.95482746033
2022-01-12,107565.51768826795
2022-01-13,105868.39482892866
2022-01-14,102828.42288025026
2022-01-15,102828.42288025026
2022-01-16,102828.42288025026
2022-01-17,100597.36464680421
2022-01-18,100343.03805325889
2022-01-19,105203.71923685222
2022-01-20,110458.25444237408
2022-01-21,110276.18830753818
2022-01-22,110276.18830753818
2022-01-23,110276.18830753818
2022-01-24,110518.81372759459
2022-01-25,113575.07068173254
2022-01-26,113546.93648173254
2022-01-27,117887.1737167028
2022-01-28,117258.59076324129
2022-01-29,117230.45656324129
2022-01-30,117230.45656324129
2022-01-31,118506.9687691269
2022-02-01,115113.44211110611
2022-02-02,115375.31186036665
2022-02-03,114640.24192099244
2022-02-04,115262.351694551
2022-02-05,115262.351694551
2022-02-06,115262.351694551
2022-02-07,115057.30022193425
2022-02-08,118763.85648345875
2022-02-09,120395.43765734072
2022-02-10,121748.96280111684
2022-02-11,124511.23907711037
2022-02-12,124511.23907711037
2022-02-13,124511.23907711037
2022-02-14,121373.69166953757
2022-02-15,122875.27163884751
2022-02-16,123482.41521664776
2022-02-17,126128.3113334131
2022-02-18,124489.92575192294
2022-02-19,124489.92575192294
2022-02-20,124489.92575192294
2022-02-21,128071.36891386201
2022-02-22,133340.3993554235
2022-02-23,133796.24127123988
2022-02-24,133310.02972399176
2022-02-25,131403.96898638475
2022-02-26,131403.96898638475
2022-02-27,131403.96898638475
2022-02-28,132725.78644466016
2022-03-01,132725.78644466016
2022-03-02,137702.85196629347
2022-03-03,138101.86780065828
2022-03-04,137671.032625835
2022-03-05,137671.032625835
2022-03-06,137642.898425835
2022-03-07,139576.3537848662
2022-03-08,141983.4528171403
2022-03-09,143639.86972330025
2022-03-10,143693.1606654125
2022-03-11,143891.71404721736
2022-03-12,143891.71404721736
2022-03-13,143891.71404721736
2022-03-14,141825.45329485953
2022-03-15,146797.3170073949
2022-03-16,144541.08760103688
2022-03-17,150570.76893472427
2022-03-18,150570.76893472427
2022-03-19,150570.76893472427
2022-03-20,150570.76893472427
2022-03-21,147153.30644066856
2022-03-22,144309.4452613272
2022-03-23,143502.33831882762
2022-03-24,138891.07855801922
2022-03-25,139011.0890558029
2022-03-26,138954.8206558029
2022-03-27,138954.8206558029
2022-03-28,140745.52521606762
2022-03-29,141338.79132374006
2022-03-30,139333.2165057318
2022-03-31,140792.70473157254
2022-04-01,144565.00607991888
2022-04-02,144565.00607991888
2022-04-03,144565.00607991888
2022-04-04,153057.60638757923
2022-04-05,155790.90295469374
2022-04-06,160329.35598906688
2022-04-07,163860.13946908282
2022-04-08,164456.57530765893
2022-04-09,164456.57530765893
2022-04-10,164456.57530765893
2022-04-11,165954.94412387593
2022-04-12,168104.08032921466
2022-04-13,168890.95384549885
2022-04-14,168890.95384549885
2022-04-15,168890.95384549885
2022-04-16,168890.95384549885
2022-04-17,168890.95384549885
2022-04-18,167766.46493663627
2022-04-19,157693.56684026888
2022-04-20,156807.3508456166
2022-04-21,157443.69808368327
2022-04-22,156923.3169573448
2022-04-23,156895.1827573448
2022-04-24,156895.1827573448
2022-04-25,157218.78735772538
2022-04-26,153470.44470453996
2022-04-27,151763.1326811621
2022-04-28,152149.1378386044
2022-04-29,152517.01695543464
2022-04-30,152517.01695543464
2022-05-01,152517.01695543464
2022-05-02,150945.8350010814
2022-05-03,150945.8350010814
2022-05-04,155804.04525673372
2022-05-05,165512.15593223218
2022-05-06,160291.78780956025
2022-05-07,160291.78780956025
2022-05-08,160291.78780956025
2022-05-09,171363.99635132897
2022-05-10,172760.7187536291
2022-05-11,170742.15747013007
2022-05-12,174888.07625639345
2022-05-13,176424.9447302285
2022-05-14,176424.9447302285
2022-05-15,176424.9447302285
2022-05-16,172447.5101690636
2022-05-17,168580.1136253833
2022-05-18,168354.8874859044
2022-05-19,158533.12206429522
2022-05-20,152717.9343246753
2022-05-21,152689.8001246753
2022-05-22,152689.8001246753
2022-05-23,156830.0824240315
2022-05-24,153453.09068411612
2022-05-25,145277.2903512985
2022-05-26,147704.39179681288
2022-05-27,151454.70111150015
2022-05-28,151426.56691150015
2022-05-29,151426.56691150015
2022-05-30,155786.90642850148
2022-05-31,156279.78113981942
2022-06-01,154041.7877322562
2022-06-02,155250.70129665517
2022-06-03,154612.2830708906
2022-06-04,154612.2830708906
2022-06-05,154612.2830708906
2022-06-06,154951.2911029992
2022-06-07,149856.91874823766
2022-06-08,154439.47602122987
2022-06-09,150638.76587987476
2022-06-10,153010.66895639303
2022-06-11,153010.66895639303
2022-06-12,153010.66895639303
2022-06-13,149905.03771139652
2022-06-14,152331.37458613786
2022-06-15,153998.68906854995
2022-06-16,154154.25759388664
2022-06-17,147060.79877432768
2022-06-18,147060.79877432768
2022-06-19,147060.79877432768
2022-06-20,154692.32876602525
2022-06-21,156966.12436953315
2022-06-22,162977.57621914885
2022-06-23,170795.79325971068
2022-06-24,166300.6621047837
2022-06-25,166300.6621047837
2022-06-26,166300.6621047837
2022-06-27,169563.48713819985
2022-06-28,166802.42600008912
2022-06-29,161270.93648333193
2022-06-30,159029.6027373915
2022-07-01,171764.5128388972
2022-07-02,171764.5128388972
2022-07-03,171764.5128388972
2022-07-04,166384.729839208
2022-07-05,165490.01256084527
2022-07-06,166116.89692088915
2022-07-07,165339.60252317134
2022-07-08,163229.84636996692
2022-07-09,163229.84636996692
2022-07-10,163229.84636996692
2022-07-11,154886.84380662872
