time,pair,signal
2021-06-27,RELIANCE-TCS,1
2021-07-09,RELIANCE-TCS,0
2021-08-13,RELIANCE-TCS,1
2021-08-17,RELIANCE-TCS,0
2021-08-18,RELIANCE-TCS,1
2021-09-27,RELIANCE-TCS,0
2021-10-11,RELIANCE-TCS,-1
2021-10-14,RELIANCE-TCS,0
2021-10-15,RELIANCE-TCS,-1
2021-11-16,RELIANCE-TCS,0
2021-12-08,RELIANCE-TCS,1
2022-02-22,RELIANCE-TCS,-1
2022-02-24,RELIANCE-TCS,0
2022-02-25,RELIANCE-TCS,-1
2022-03-23,RELIANCE-TCS,0
2022-04-18,RELIANCE-TCS,-1
2022-04-19,RELIANCE-TCS,0
2022-04-21,RELIANCE-TCS,-1
2022-11-01,RELIANCE-TCS,0
2022-11-14,RELIANCE-TCS,1
2022-12-09,RELIANCE-TCS,0
2023-01-13,RELIANCE-TCS,1
2023-01-17,RELIANCE-TCS,0
2023-01-18,RELIANCE-TCS,1
2023-03-20,RELIANCE-TCS,0
2023-03-21,RELIANCE-TCS,-1
2023-04-10,RELIANCE-TCS,0
2023-04-19,RELIANCE-TCS,-1
2023-05-05,RELIANCE-TCS,0
2023-06-16,RELIANCE-TCS,-1
2023-06-21,RELIANCE-TCS,0
2023-07-10,RELIANCE-TCS,-1
2023-07-14,RELIANCE-TCS,1
2023-07-26,RELIANCE-TCS,0
2023-08-07,RELIANCE-TCS,1
2023-08-21,RELIANCE-TCS,0
2023-09-07,RELIANCE-TCS,1
2023-09-12,RELIANCE-TCS,0
2023-09-14,RELIANCE-TCS,1
2023-09-15,RELIANCE-TCS,0
2023-09-16,RELIANCE-TCS,1
2023-11-10,RELIANCE-TCS,0
2023-11-16,RELIANCE-TCS,1
2023-12-15,RELIANCE-TCS,0
2023-12-18,RELIANCE-TCS,1
2024-02-06,RELIANCE-TCS,0
2024-02-07,RELIANCE-TCS,1
2024-03-27,RELIANCE-TCS,0
2024-03-28,RELIANCE-TCS,-1
2024-04-04,RELIANCE-TCS,0
2024-05-31,RELIANCE-TCS,-1
2024-06-06,RELIANCE-TCS,0
2024-07-14,RELIANCE-TCS,1
2024-07-18,RELIANCE-TCS,0
2024-07-21,RELIANCE-TCS,1
2025-02-11,RELIANCE-TCS,0
2025-02-17,RELIANCE-TCS,-1
2025-02-19,RELIANCE-TCS,0
2025-02-21,RELIANCE-TCS,-1
2025-02-28,RELIANCE-TCS,0
2025-03-01,RELIANCE-TCS,-1
2025-09-26,RELIANCE-TCS,0
2025-09-27,RELIANCE-TCS,-1
2025-12-04,RELIANCE-TCS,0
2025-12-22,RELIANCE-TCS,1
2025-12-31,RELIANCE-TCS,0
2026-01-07,RELIANCE-TCS,1
2026-02-04,RELIANCE-TCS,-1
2026-02-12,RELIANCE-TCS,0
2026-02-15,RELIANCE-TCS,-1
2021-06-02,RELIANCE-INFY,-1
2021-06-11,RELIANCE-INFY,0
2021-06-29,RELIANCE-INFY,1
2021-08-27,RELIANCE-INFY,0
2021-09-28,RELIANCE-INFY,-1
2021-10-19,RELIANCE-INFY,0
2021-11-16,RELIANCE-INFY,1
2022-01-27,RELIANCE-INFY,0
2022-03-08,RELIANCE-INFY,1
2022-04-04,RELIANCE-INFY,0
2022-04-11,RELIANCE-INFY,-1
2022-04-18,RELIANCE-INFY,0
2022-04-23,RELIANCE-INFY,-1
2022-07-08,RELIANCE-INFY,0
2022-08-12,RELIANCE-INFY,-1
2022-10-25,RELIANCE-INFY,0
2022-11-24,RELIANCE-INFY,1
2022-11-28,RELIANCE-INFY,0
2022-12-20,RELIANCE-INFY,-1
2023-01-12,RELIANCE-INFY,0
2023-01-23,RELIANCE-INFY,1
2023-03-21,RELIANCE-INFY,0
2023-04-21,RELIANCE-INFY,-1
2023-08-29,RELIANCE-INFY,0
2023-09-01,RELIANCE-INFY,1
2023-10-13,RELIANCE-INFY,0
2023-12-18,RELIANCE-INFY,1
2024-01-03,RELIANCE-INFY,0
2024-01-10,RELIANCE-INFY,-1
2024-01-11,RELIANCE-INFY,0
2024-01-15,RELIANCE-INFY,1
2024-02-13,RELIANCE-INFY,0
2024-03-04,RELIANCE-INFY,-1
2024-03-14,RELIANCE-INFY,0
2024-03-20,RELIANCE-INFY,-1
2024-06-06,RELIANCE-INFY,0
2024-06-28,RELIANCE-INFY,-1
2024-07-04,RELIANCE-INFY,0
2024-07-12,RELIANCE-INFY,1
2024-07-19,RELIANCE-INFY,0
2024-07-21,RELIANCE-INFY,1
2024-07-22,RELIANCE-INFY,0
2024-07-25,RELIANCE-INFY,1
2025-01-17,RELIANCE-INFY,0
2025-01-24,RELIANCE-INFY,1
2025-02-28,RELIANCE-INFY,-1
2025-03-12,RELIANCE-INFY,0
2025-03-13,RELIANCE-INFY,-1
2025-06-17,RELIANCE-INFY,0
2025-06-23,RELIANCE-INFY,-1
2025-10-20,RELIANCE-INFY,0
2025-10-21,RELIANCE-INFY,-1
2025-12-05,RELIANCE-INFY,0
2025-12-18,RELIANCE-INFY,1
2025-12-31,RELIANCE-INFY,0
2026-01-07,RELIANCE-INFY,1
2026-01-16,RELIANCE-INFY,0
2026-01-17,RELIANCE-INFY,1
2026-01-19,RELIANCE-INFY,0
2026-01-20,RELIANCE-INFY,1
2026-02-12,RELIANCE-INFY,-1
2026-04-07,RELIANCE-INFY,1
2026-04-22,RELIANCE-INFY,0
2026-04-24,RELIANCE-INFY,-1
2021-06-04,RELIANCE-HDFCBANK,-1
2021-06-24,RELIANCE-HDFCBANK,0
2021-08-30,RELIANCE-HDFCBANK,-1
2021-09-03,RELIANCE-HDFCBANK,0
2021-09-08,RELIANCE-HDFCBANK,-1
2021-10-23,RELIANCE-HDFCBANK,0
2021-11-22,RELIANCE-HDFCBANK,1
2021-11-25,RELIANCE-HDFCBANK,0
2021-12-08,RELIANCE-HDFCBANK,-1
2022-02-04,RELIANCE-HDFCBANK,1
2022-02-08,RELIANCE-HDFCBANK,0
2022-03-02,RELIANCE-HDFCBANK,-1
2022-03-24,RELIANCE-HDFCBANK,0
2022-03-26,RELIANCE-HDFCBANK,-1
2022-04-21,RELIANCE-HDFCBANK,0
2022-04-22,RELIANCE-HDFCBANK,-1
2022-07-01,RELIANCE-HDFCBANK,1
2022-07-20,RELIANCE-HDFCBANK,0
2022-09-16,RELIANCE-HDFCBANK,1
2022-11-29,RELIANCE-HDFCBANK,0
2022-11-30,RELIANCE-HDFCBANK,-1
2022-12-07,RELIANCE-HDFCBANK,0
2022-12-09,RELIANCE-HDFCBANK,1
2023-05-05,RELIANCE-HDFCBANK,0
2023-05-26,RELIANCE-HDFCBANK,-1
2023-06-23,RELIANCE-HDFCBANK,0
2023-07-13,RELIANCE-HDFCBANK,-1
2023-10-23,RELIANCE-HDFCBANK,0
2023-10-31,RELIANCE-HDFCBANK,-1
2024-01-10,RELIANCE-HDFCBANK,0
2024-01-16,RELIANCE-HDFCBANK,-1
2024-01-17,RELIANCE-HDFCBANK,0
2024-01-20,RELIANCE-HDFCBANK,-1
2024-04-05,RELIANCE-HDFCBANK,0
2024-04-22,RELIANCE-HDFCBANK,-1
2024-05-06,RELIANCE-HDFCBANK,0
2024-05-17,RELIANCE-HDFCBANK,-1
2024-05-31,RELIANCE-HDFCBANK,0
2024-06-10,RELIANCE-HDFCBANK,-1
2024-06-19,RELIANCE-HDFCBANK,0
2024-06-21,RELIANCE-HDFCBANK,1
2024-06-27,RELIANCE-HDFCBANK,0
2024-07-05,RELIANCE-HDFCBANK,-1
2024-08-02,RELIANCE-HDFCBANK,0
